0.89,0.80,0.56,0.67,0.76,0.65,0.72,0.83,0.63,0.71,0.72,0.67,,,,
0.89,0.80,0.60,0.69,0.77,0.67,0.73,0.83,0.64,0.71,0.72,0.67,,,,
0.90,0.78,0.61,0.72,0.78,0.67,0.73,0.85,0.65,0.72,0.75,0.67,,,,
0.88,0.80,0.62,0.75,0.78,0.68,0.74,0.85,0.66,0.72,0.77,0.67,,,,
0.88,0.80,0.67,0.76,0.78,0.68,0.74,0.86,0.66,0.73,0.78,0.67,,,,
0.86,0.81,0.67,0.78,0.78,0.68,0.74,0.86,0.66,0.74,0.78,0.68,,,,
0.85,0.80,0.68,0.78,0.78,0.68,0.74,0.86,0.67,0.75,0.78,0.68,,,,
0.85,0.78,0.68,0.78,0.78,0.69,0.74,0.87,0.67,0.75,0.79,0.68,,,,
0.85,0.77,0.69,0.80,0.78,0.70,0.75,0.87,0.67,0.75,0.79,0.68,,,,
0.82,0.78,0.70,0.80,0.79,0.70,0.75,0.87,0.67,0.75,0.80,0.69,,,,
0.81,0.78,0.70,0.80,0.79,0.70,0.75,0.87,0.68,0.75,0.80,0.70,,,,
0.78,0.78,0.70,0.80,0.80,0.70,0.75,0.88,0.68,0.75,0.80,0.70,,,,
0.78,0.78,0.72,0.80,0.80,0.71,0.75,0.88,0.68,0.75,0.80,0.71,,,,
0.71,0.79,0.72,0.80,0.81,0.71,0.77,0.88,0.68,0.75,0.81,0.72,,,,
0.80,0.78,0.72,0.80,0.82,0.71,0.77,0.89,0.69,0.75,0.82,0.72,,,,
0.80,0.78,0.72,0.80,0.83,0.72,0.78,0.89,0.69,0.76,0.82,0.72,,,,
0.80,0.82,0.72,0.80,0.86,0.72,0.80,0.90,0.69,0.78,0.82,0.72,,,,
0.67,0.97,0.72,0.80,0.88,0.73,0.81,0.90,0.70,0.78,0.83,0.72,,,,
0.72,0.93,0.72,0.82,0.91,0.73,0.82,0.90,0.71,0.78,0.83,0.72,,,,
0.73,0.93,0.74,0.83,0.93,0.73,0.82,0.90,0.71,0.78,0.83,0.75,,,,
0.88,0.88,0.77,0.83,1.00,0.74,0.82,0.90,0.71,0.80,0.84,0.77,,,,
0.89,0.86,0.79,0.86,1.00,0.75,0.82,0.91,0.72,0.83,0.84,0.80,,,,
