0.82,0.82,0.63,0.83,0.85,0.52,0.89,0.65,0.52,0.78,0.80,0.64,
0.80,0.82,0.63,0.83,0.85,0.54,0.86,0.65,0.53,0.77,0.81,0.64,
0.79,0.82,0.63,0.83,0.85,0.57,0.86,0.63,0.61,0.77,0.81,0.64,
0.78,0.82,0.63,0.83,0.83,0.59,0.88,0.63,0.62,0.75,0.82,0.64,
0.82,0.82,0.61,0.82,0.88,0.51,0.88,0.62,0.63,0.81,0.81,0.67,
0.83,0.83,0.57,0.82,0.90,0.49,0.86,0.61,0.63,0.74,0.85,0.65,
0.85,0.82,0.56,0.83,0.86,0.49,0.87,0.52,0.65,0.74,0.82,0.62,
0.80,0.83,0.51,0.84,0.82,0.45,0.83,0.53,0.65,0.77,0.79,0.63,
0.74,0.74,0.64,0.82,0.74,0.46,0.70,0.66,0.66,0.76,0.81,0.64,
0.65,0.74,0.80,0.74,0.78,0.62,0.73,0.70,0.68,0.77,0.81,0.66,
0.58,0.75,0.85,0.69,0.77,0.77,0.73,0.76,0.69,0.72,0.86,0.67,
0.55,0.74,0.91,0.70,0.73,0.85,0.75,0.79,0.69,0.70,0.86,0.67,
0.54,0.98,0.73,0.70,0.79,0.80,0.83,0.77,0.70,0.74,0.82,0.68,
0.51,1.00,0.74,0.67,0.82,0.83,0.89,0.76,0.70,0.77,0.79,0.71,
0.69,0.85,0.78,0.63,0.94,0.73,0.89,0.71,0.71,0.72,0.81,0.70,
0.74,0.83,0.79,0.74,0.93,0.70,0.90,0.73,0.71,0.71,0.85,0.68,
0.83,0.82,0.78,0.85,0.85,0.70,0.91,0.71,0.73,0.70,0.88,0.67,
0.89,0.78,0.78,0.90,0.83,0.70,0.92,0.70,0.76,0.71,0.89,0.65,
0.89,0.81,0.76,0.93,0.86,0.71,0.90,0.69,0.76,0.74,0.88,0.67,
0.90,0.79,0.76,0.93,0.89,0.67,0.88,0.69,0.77,0.76,0.85,0.68,
0.79,0.79,0.76,0.87,0.89,0.65,0.86,0.68,0.79,0.77,0.84,0.67,
,,,,,,,,,,,,
,,,,,,,,,,,,
